fecha,nombre,precio
2025-08-19,Queso Cremoso PUNTA DEL AGUA X Kg,12299
2025-08-19,Queso Cremoso La Maria Pilar X Kg,11999
2025-08-19,Queso Cremón Cremoso La Serenísima - Unidad Aprox. 500g,14835
2025-08-19,Queso Cremoso Horma Puyehue X Kg,11999
2025-08-19,Queso Cremoso Fraccionado Silvia 1kg,13999
2025-08-19,Queso Cremoso Fraccionado LA PAULINA Xkg,11299
2025-08-19,Queso Cremoso Doble Crema LA PAULINA X Kg,11899
2025-08-19,Queso Cremoso COTO 400 Gr,5739
2025-08-19,Queso Cremoso Fraccionado Punta Del A . 1 Kgm,13399
2025-08-19,Cremoso Fraccionado TREGAR X Kg,12999
2025-08-19,Cremoso PRIMERA MARCA Xkg,6889
2025-08-19,Cremoso . Canut Xkg,11345
2025-08-19,Cremoso Vacalin Fraccion Paq 400 Grm,5869
