fecha,nombre,precio
2025-08-11,Queso cremoso La Paulina x kg.,9990
2025-08-11,Queso cremoso Puyehue horma x kg.,11630
2025-08-11,Queso cremoso Cremac x kg.,9800
2025-08-11,Queso Cremón La Serenísima cremoso fraccionado x kg,14829
2025-08-11,Queso cremoso Los 4 Hermanos x kl.,12110
2025-08-11,Queso doble crema cremon fracc La serenísima x kg.,15719
2025-08-11,Queso cremoso Tremblay trozado x kg.,7490
2025-08-11,Queso cremoso Cremón x kg.,14190
2025-08-11,Queso cremoso Classic x kg.,8900
2025-08-11,Cremoso vegano Felices Las Vacas 500 g.,6589
2025-08-11,Queso cremoso Sudamlac x kg,10810
2025-08-11,Queso cremoso Silvia fraccionado x kg.,15360
2025-08-11,Queso cremoso La paulina fraccionada origen x kg.,14290
2025-08-11,Queso cremoso horma Supercrem x kg.,12900
2025-08-11,Queso cremoso procesado Los 4 hermanos 250 g.,3240
2025-08-11,Queso cremoso Silvia media horma,13840
2025-08-11,Queso cremoso El Puente horma x kg,10500
2025-08-11,Queso cremoso Cerutti fracc x kg.,14920
2025-08-11,Queso cremoso sin sal Bonne vie bajo lactosa x kg.,36770
