fecha,nombre,precio
2025-08-16,Queso cremoso La Paulina x kg.,9990
2025-08-16,Queso cremoso Puyehue horma x kg.,7490
2025-08-16,Queso Cremón La Serenísima cremoso fraccionado x kg,11999
2025-08-16,Queso cremoso Cremac x kg.,11790
2025-08-16,Queso cremoso Los 4 Hermanos x kl.,8900
2025-08-16,Queso doble crema cremon fracc La serenísima x kg.,15719
2025-08-16,Queso cremoso Tremblay trozado x kg.,9200
2025-08-16,Queso cremoso Puyehué 300 g.,1990
2025-08-16,Queso cremoso Cremón x kg.,14190
2025-08-16,Queso cremoso Classic x kg.,9900
2025-08-16,Queso cremoso La Paulina doble crema x kg.,11899
2025-08-16,Cremoso vegano Felices Las Vacas 500 g.,6589
2025-08-16,Queso cremoso Silvia fraccionado x kg.,10999
2025-08-16,Queso cremoso Sudamlac x kg,10810
2025-08-16,Queso cremoso La paulina fraccionada origen x kg.,14290
2025-08-16,Queso cremoso horma Supercrem x kg.,12900
2025-08-16,Queso cremoso procesado Los 4 hermanos 250 g.,3240
2025-08-16,Queso cremoso Silvia media horma,13840
2025-08-16,Queso cremoso 1 8 Cremac x kg,14290
2025-08-16,Queso cremoso El Puente horma x kg,10500
2025-08-16,Queso cremoso Cerutti fracc x kg.,14920
2025-08-16,Queso cremoso D-70 horma x kg,10340
2025-08-16,Queso cremoso Puyehué porción x kg,11890
2025-08-16,Queso cremoso sin sal Bonne vie bajo lactosa x kg.,36770
